,game_id,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_BB,home_SO/BB,home_WHIP,away_ERA,away_ER,away_R,away_SO,away_BB,away_SO/BB,away_WHIP,home_OBP,home_SLG,home_HR,home_R/G,home_BB_batting,home_SO_batting,home_IBB,away_home_OBP,away_home_SLG,away_home_HR,away_home_R/G,away_home_BB_batting,away_home_SO_batting,away_home_IBB,temp,condition,wind,condition_Clear,condition_Cloudy,condition_Dome,condition_Drizzle,condition_Overcast,condition_Partly Cloudy,condition_Rain,condition_Roof Closed,condition_Snow,condition_Sunny,home_lineup_score,away_lineup_score,home_n_starters,away_n_starters
42,778994,San Francisco Giants,Colorado Rockies,Justin Verlander,Chase Dollander,2,2,3.85,65.0,74.0,137.0,52.0,2.63,1.362,6.52,71.0,76.0,82.0,49.0,1.67,1.551,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,78,Partly Cloudy,"2 mph, Out To CF",False,False,False,False,False,True,False,False,False,False,0.6336315789473684,0.587388888888889,19,18
43,778865,Chicago White Sox,Texas Rangers,Shane Smith,Jon Gray,11,3,3.81,62.0,70.0,145.0,58.0,2.5,1.196,7.71,12.0,12.0,12.0,6.0,2.0,1.5,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,79,Partly Cloudy,"2 mph, Calm",False,False,False,False,False,True,False,False,False,False,0.6065,0.8344999999999999,18,18
44,778806,Arizona Diamondbacks,Cleveland Guardians,Zac Gallen,Joey Cantillo,3,4,4.83,103.0,109.0,175.0,66.0,2.65,1.26,3.21,34.0,39.0,108.0,42.0,2.57,1.259,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,78,Partly Cloudy,"3 mph, Out To CF",False,False,False,False,False,True,False,False,False,False,0.544,0.8455263157894738,18,19
45,779019,San Diego Padres,Chicago Cubs,Randy Vásquez,Matthew Boyd,10,5,3.84,57.0,59.0,78.0,52.0,1.5,1.324,3.21,64.0,69.0,154.0,42.0,3.67,1.091,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,78,Sunny,"3 mph, R To L",False,False,False,False,False,False,False,False,False,True,0.8177619047619048,1.1519444444444444,21,18
46,779159,Los Angeles Angels,San Francisco Giants,Kyle Hendricks,Mason Black,4,7,4.76,87.0,92.0,114.0,43.0,2.65,1.275,6.75,3.0,5.0,5.0,0.0,,1.25,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,78,Sunny,"2 mph, Calm",False,False,False,False,False,False,False,False,False,True,0.7251578947368421,0.8043888888888888,19,18
47,779104,Milwaukee Brewers,Seattle Mariners,Chad Patrick,Logan Gilbert,12,8,3.53,47.0,49.0,127.0,40.0,3.18,1.279,3.44,50.0,53.0,173.0,31.0,5.58,1.031,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,0.311,0.376,185.0,4.17,571.0,1625.0,14.0,76,Sunny,"4 mph, In From CF",False,False,False,False,False,False,False,False,False,True,0.793888888888889,0.9322105263157895,18,19
48,779114,Detroit Tigers,Toronto Blue Jays,Keider Montero,Bowden Francis,0,0,4.37,44.0,46.0,72.0,31.0,2.32,1.39,6.05,43.0,46.0,54.0,27.0,2.0,1.531,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,,,,False,False,False,False,False,False,False,False,False,False,,,0,0
49,778978,Tampa Bay Rays,Minnesota Twins,Zack Littell,Chris Paddack,0,0,3.81,79.0,81.0,130.0,32.0,4.06,1.104,5.35,94.0,98.0,112.0,37.0,3.03,1.285,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,,,,False,False,False,False,False,False,False,False,False,False,,,0,0
50,778913,Philadelphia Phillies,Pittsburgh Pirates,Cristopher Sánchez,Paul Skenes,0,0,2.5,56.0,58.0,212.0,44.0,4.82,1.064,1.97,41.0,45.0,216.0,42.0,5.14,0.948,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,,,,False,False,False,False,False,False,False,False,False,False,,,0,0
51,778737,Houston Astros,Miami Marlins,Ronel Blanco,Ryan Weathers,0,0,4.1,22.0,22.0,48.0,20.0,2.4,1.179,3.99,17.0,20.0,37.0,12.0,3.08,1.278,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,,,,False,False,False,False,False,False,False,False,False,False,,,0,0
